,ASSESSMENT_YEAR,TOTALVALUE,HOMESTEAD,NEIGHBORHOOD,COMMUNITY,ZIPCODE,FORMATTED_ADDRESS,WARD,PROPERTY_TYPE,BUILDINGVALUE
24144,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418-1537,3610 CLEVELAND ST,1.0,RESIDENTIAL,0
24147,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55421-3600,1800 1/2 37TH AVE NE,1.0,VACANT LAND - COMMERCIAL,0
24161,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,1640 HOLLYWOOD AVE,1.0,VACANT LAND - COMMERCIAL,0
24189,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55421,1200 37TH AVE NE,1.0,VACANT LAND - COMMERCIAL,0
24206,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418-1443,1742 HOLLYWOOD AVE,1.0,RESIDENTIAL,0
24312,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,1605 35TH AVE NE,1.0,VACANT LAND - COMMERCIAL,0
24318,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,2011 33RD AVE NE,1.0,VACANT LAND - COMMERCIAL,0
24429,2020,0,NON-HOMESTEADED,REGINA,NOKOMIS,55409-2140,4405 CLINTON AVE,8.0,RESIDENTIAL,0
24453,2020,0,NON-HOMESTEADED,REGINA,NOKOMIS,55409-2143,4500 CLINTON AVE,8.0,COMMERCIAL,0
24454,2020,0,NON-HOMESTEADED,REGINA,NOKOMIS,55409,4540 CLINTON AVE,8.0,VACANT LAND - COMMERCIAL,0
24463,2020,0,NON-HOMESTEADED,REGINA,NOKOMIS,55409-2111,4541 3RD AVE S,8.0,RESIDENTIAL,0
24465,2020,0,NON-HOMESTEADED,REGINA,NOKOMIS,55409-2145,4504 4TH AVE S,8.0,RESIDENTIAL,0
24473,2020,0,NON-HOMESTEADED,REGINA,NOKOMIS,55409-2145,4536 4TH AVE S,8.0,VACANT LAND - APARTMENT,0
24474,2020,0,NON-HOMESTEADED,REGINA,NOKOMIS,55409-2145,4540 4TH AVE S,8.0,VACANT LAND - APARTMENT,0
24475,2020,0,NON-HOMESTEADED,REGINA,NOKOMIS,55409-2145,4544 4TH AVE S,8.0,APARTMENT,0
24476,2020,0,NON-HOMESTEADED,REGINA,NOKOMIS,55409-2145,4554 4TH AVE S,8.0,VACANT LAND - APARTMENT,0
24477,2020,0,NON-HOMESTEADED,REGINA,NOKOMIS,55409-2145,4556 4TH AVE S,8.0,VACANT LAND - COMMERCIAL,0
24478,2020,0,NON-HOMESTEADED,REGINA,NOKOMIS,55409-2154,328 46TH ST E,8.0,VACANT LAND - RESIDENTIAL,0
24501,2020,0,NON-HOMESTEADED,REGINA,NOKOMIS,55409-2147,4540 5TH AVE S,8.0,RESIDENTIAL,0
24504,2020,0,NON-HOMESTEADED,DOWNTOWN EAST,CENTRAL,55414,124 9TH AVE SE,3.0,VACANT LAND - COMMERCIAL,0
24509,2020,0,NON-HOMESTEADED,REGINA,NOKOMIS,55409-2144,4529 4TH AVE S,8.0,RESIDENTIAL,0
24519,2020,0,NON-HOMESTEADED,REGINA,NOKOMIS,55407-3550,4516 PORTLAND AVE,8.0,RESIDENTIAL,0
24522,2020,0,NON-HOMESTEADED,WENONAH,NOKOMIS,55417,2911 55TH ST E,11.0,VACANT LAND - COMMERCIAL,0
24540,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418,2901 MAIN ST NE,1.0,VACANT LAND - COMMERCIAL,0
24541,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418,3012 UNIVERSITY AVE NE,1.0,VACANT LAND - COMMERCIAL,0
24542,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418,312 31ST AVE NE,1.0,VACANT LAND - COMMERCIAL,0
24543,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55411-1540,3001 3RD ST NE,1.0,VACANT LAND - COMMERCIAL,0
24544,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55411-1509,2925 3RD ST NE,1.0,VACANT LAND - COMMERCIAL,0
24545,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418,116 31ST AVE NE,1.0,VACANT LAND - INDUSTRIAL,0
24575,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-2409,3030 4TH AVE S,9.0,VACANT LAND - COMMERCIAL,0
24602,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-3246,3113 5TH AVE S,9.0,RESIDENTIAL,0
24636,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-2410,3025 4TH AVE S,9.0,COMMERCIAL,0
24649,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4548,3548 CLINTON AVE,9.0,RESIDENTIAL,0
24658,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4525,3525 3RD AVE S,9.0,RESIDENTIAL,0
24752,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4523,3441 3RD AVE S,9.0,VACANT LAND - COMMERCIAL,0
24766,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4522,3420 3RD AVE S,9.0,RESIDENTIAL,0
24768,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4513,3425 2ND AVE S,9.0,RESIDENTIAL,0
24774,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408,3400 2ND AVE S,8.0,VACANT LAND - COMMERCIAL,0
24775,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408,3430 2ND AVE S,8.0,VACANT LAND - COMMERCIAL,0
24782,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4513,3449 2ND AVE S,9.0,RESIDENTIAL,0
24795,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-4516,3525 2ND AVE S,9.0,RESIDENTIAL,0
24801,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408,3500 2ND AVE S,8.0,VACANT LAND - COMMERCIAL,0
24802,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408,3530 2ND AVE S,9.0,VACANT LAND - COMMERCIAL,0
24814,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408-4505,3436 1ST AVE S,8.0,RESIDENTIAL,0
24848,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408-4509,3548 1ST AVE S,8.0,RESIDENTIAL,0
24858,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408-4565,3548 STEVENS AVE,8.0,RESIDENTIAL,0
24902,2020,0,NON-HOMESTEADED,HAWTHORNE,NEAR NORTH,55411-1437,2826 BRYANT AVE N,5.0,VACANT LAND - RESIDENTIAL,0
24908,2020,0,NON-HOMESTEADED,HAWTHORNE,NEAR NORTH,55411-1436,2803 BRYANT AVE N,5.0,VACANT LAND - RESIDENTIAL,0
24919,2020,0,NON-HOMESTEADED,HAWTHORNE,NEAR NORTH,55411-1434,2713 BRYANT AVE N,5.0,DOUBLE BUNGALOW,0
24926,2020,0,NON-HOMESTEADED,HAWTHORNE,NEAR NORTH,55411-1457,2714 COLFAX AVE N,5.0,VACANT LAND - RESIDENTIAL,0
24935,2020,0,NON-HOMESTEADED,HAWTHORNE,NEAR NORTH,55411-2032,2650 COLFAX AVE N,5.0,VACANT LAND - RESIDENTIAL,0
24936,2020,0,NON-HOMESTEADED,HAWTHORNE,NEAR NORTH,55411-2106,2627 BRYANT AVE N,5.0,VACANT LAND - COMMERCIAL,0
24938,2020,0,NON-HOMESTEADED,HAWTHORNE,NEAR NORTH,55411-2028,918 26TH AVE N,5.0,VACANT LAND - RESIDENTIAL,0
24942,2020,0,NON-HOMESTEADED,HAWTHORNE,NEAR NORTH,55411-2032,2618 COLFAX AVE N,5.0,DOUBLE BUNGALOW,0
25100,2020,0,NON-HOMESTEADED,NORTHLOOP,CENTRAL,55401,700 RIVER ST,3.0,VACANT LAND - COMMERCIAL,0
25122,2020,0,NON-HOMESTEADED,KING FIELD,SOUTHWEST,55409-1511,4018 BLAISDELL AVE,8.0,RESIDENTIAL,0
25280,2020,0,NON-HOMESTEADED,KING FIELD,SOUTHWEST,55409-1523,4155 WENTWORTH AVE,8.0,RESIDENTIAL,0
25320,2020,0,NON-HOMESTEADED,KING FIELD,SOUTHWEST,55409,211 40TH ST W,8.0,VACANT LAND - COMMERCIAL,0
25366,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408-4328,3445 PILLSBURY AVE,8.0,RESIDENTIAL,0
25406,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408-4335,3407 PLEASANT AVE,8.0,RESIDENTIAL,0
25416,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408-4329,3532 PILLSBURY AVE,8.0,RESIDENTIAL,0
25486,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408-4320,3521 BLAISDELL AVE,8.0,RESIDENTIAL,0
25726,2020,0,NON-HOMESTEADED,BANCROFT,POWDERHORN,55407-3333,4132 BLOOMINGTON AVE,8.0,VACANT LAND - COMMERCIAL,0
25751,2020,0,NON-HOMESTEADED,BANCROFT,POWDERHORN,55407,1535 41ST ST E,8.0,VACANT LAND - COMMERCIAL,0
25753,2020,0,NON-HOMESTEADED,BANCROFT,POWDERHORN,55407-3316,4000 17TH AVE S,8.0,RESIDENTIAL,0
25765,2020,0,NON-HOMESTEADED,BANCROFT,POWDERHORN,55407-3308,4005 16TH AVE S,8.0,RESIDENTIAL,0
25825,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,2001 29TH AVE NE,1.0,VACANT LAND - COMMERCIAL,0
25887,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418,2217 29TH AVE NE,1.0,VACANT LAND - COMMERCIAL,0
25909,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418-2316,2952 MCKINLEY ST,1.0,VACANT LAND - RESIDENTIAL,0
25915,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418-2318,3002 MCKINLEY ST,1.0,COMMERCIAL,0
25936,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-1823,3042 18TH AVE S,9.0,VACANT LAND - RESIDENTIAL,0
25947,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-1825,3124 18TH AVE S,9.0,RESIDENTIAL,0
26171,2020,0,NON-HOMESTEADED,KING FIELD,SOUTHWEST,55409-2025,11 44TH ST W,8.0,RESIDENTIAL,0
26176,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407,3525 1/2 COLUMBUS AVE,9.0,VACANT LAND - COMMERCIAL,0
26180,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2037,3536 COLUMBUS AVE,9.0,RESIDENTIAL,0
26239,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407,3500 CHICAGO AVE,9.0,VACANT LAND - COMMERCIAL,0
26243,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2020,3400 PARK AVE,9.0,COMMERCIAL,0
26255,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2604,3632 CHICAGO AVE,8.0,VACANT LAND - RESIDENTIAL,0
26256,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2604,3636 CHICAGO AVE,8.0,VACANT LAND - COMMERCIAL,0
26257,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2569,722 37TH ST E,8.0,VACANT LAND - RESIDENTIAL,0
26258,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2569,726 37TH ST E,8.0,VACANT LAND - RESIDENTIAL,0
26263,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407,3631 COLUMBUS AVE,8.0,VACANT LAND - RESIDENTIAL,0
26268,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2529,3648 COLUMBUS AVE,8.0,VACANT LAND - RESIDENTIAL,0
26304,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2611,3700 CHICAGO AVE,8.0,VACANT LAND - COMMERCIAL,0
26305,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2611,3708 CHICAGO AVE,8.0,VACANT LAND - APARTMENT,0
26311,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2553,3707 COLUMBUS AVE,8.0,VACANT LAND - APARTMENT,0
26312,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2573,3701 COLUMBUS AVE,8.0,VACANT LAND - APARTMENT,0
26313,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2531,3700 COLUMBUS AVE,8.0,VACANT LAND - RESIDENTIAL,0
26314,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2531,3708 COLUMBUS AVE,8.0,VACANT LAND - RESIDENTIAL,0
26322,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2561,3711 PARK AVE,8.0,VACANT LAND - APARTMENT,0
26323,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2562,3707 PARK AVE,8.0,VACANT LAND - APARTMENT,0
26324,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2563,3701 PARK AVE,8.0,VACANT LAND - APARTMENT,0
26329,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2534,3725 PARK AVE,8.0,RESIDENTIAL,0
26361,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2509,3620 OAKLAND AVE,8.0,RESIDENTIAL,0
26401,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2535,3720 PARK AVE,8.0,RESIDENTIAL,0
26441,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2526,711 37TH ST E,8.0,VACANT LAND - RESIDENTIAL,0
26442,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2531,3704 COLUMBUS AVE,8.0,VACANT LAND - APARTMENT,0
26445,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2604,3644 1/2 CHICAGO AVE,8.0,COMMERCIAL,0
26546,2020,0,NON-HOMESTEADED,NORTHROP,NOKOMIS,55407-3302,4254 15TH AVE S,8.0,COMMERCIAL,0
26672,2020,0,NON-HOMESTEADED,WAITE PARK,NORTHEAST,55418-2215,3238 HAYES ST,1.0,RESIDENTIAL,0
26883,2020,0,NON-HOMESTEADED,BOTTINEAU,NORTHEAST,55418-3308,2405 CALIFORNIA ST,3.0,VACANT LAND - COMMERCIAL,0
26945,2020,0,NON-HOMESTEADED,BOTTINEAU,NORTHEAST,55418,2200 MAIN ST NE,3.0,VACANT LAND - INDUSTRIAL,0
26948,2020,0,NON-HOMESTEADED,HAWTHORNE,NEAR NORTH,55411-1617,50 31ST AVE N,5.0,COMMERCIAL,0
26953,2020,0,NON-HOMESTEADED,HAWTHORNE,NEAR NORTH,55411-1640,2716 PACIFIC ST,5.0,INDUSTRIAL,0
26963,2020,0,NON-HOMESTEADED,BOTTINEAU,NORTHEAST,55418-4211,1822 MARSHALL ST,3.0,VACANT LAND - RESIDENTIAL,0
26964,2020,0,NON-HOMESTEADED,BOTTINEAU,NORTHEAST,55418-4211,1812 MARSHALL ST,3.0,VACANT LAND - APARTMENT,0
26965,2020,0,NON-HOMESTEADED,BOTTINEAU,NORTHEAST,55418-4211,1808 MARSHALL ST,3.0,VACANT LAND - INDUSTRIAL,0
26966,2020,0,NON-HOMESTEADED,BOTTINEAU,NORTHEAST,55418-4207,2011 GRAND ST,3.0,VACANT LAND - INDUSTRIAL,0
26972,2020,0,NON-HOMESTEADED,BOTTINEAU,NORTHEAST,55418-4205,1823 GRAND ST,3.0,VACANT LAND - COMMERCIAL,0
26975,2020,0,NON-HOMESTEADED,BOTTINEAU,NORTHEAST,55418-4203,2101 CALIFORNIA ST,3.0,VACANT LAND - COMMERCIAL,0
27000,2020,0,NON-HOMESTEADED,COLUMBIA,NORTHEAST,55418,3504 QUINCY ST,1.0,VACANT LAND - COMMERCIAL,0
27020,2020,0,NON-HOMESTEADED,COLUMBIA,NORTHEAST,55418,3601 ARCHITECT AVE,1.0,VACANT LAND - COMMERCIAL,0
27023,2020,0,NON-HOMESTEADED,COLUMBIA,NORTHEAST,55418-1205,3559 ARCHITECT AVE,1.0,VACANT LAND - RESIDENTIAL,0
27024,2020,0,NON-HOMESTEADED,COLUMBIA,NORTHEAST,55418,733 COLUMBIA PKWY,1.0,VACANT LAND - COMMERCIAL,0
27086,2020,0,NON-HOMESTEADED,COLUMBIA,NORTHEAST,55418-1222,579 36 1/2 AVE NE,1.0,RESIDENTIAL,0
27108,2020,0,NON-HOMESTEADED,COLUMBIA,NORTHEAST,55418,501 1/2 36TH AVE NE,1.0,VACANT LAND - COMMERCIAL,0
27111,2020,0,NON-HOMESTEADED,COLUMBIA,NORTHEAST,55418-1235,3600 MADISON PL,1.0,VACANT LAND - RESIDENTIAL,0
27175,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-3256,3128 CLINTON AVE,9.0,RESIDENTIAL,0
27211,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-2410,3029 4TH AVE S,9.0,COMMERCIAL,0
27232,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408,3016 4TH AVE S,9.0,COMMERCIAL,0
27247,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-2401,3037 2ND AVE S,9.0,RESIDENTIAL,0
27250,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408,3001 STEVENS AVE,9.0,VACANT LAND - COMMERCIAL,0
27268,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408,3100 2ND AVE S,8.0,VACANT LAND - COMMERCIAL,0
27289,2020,0,NON-HOMESTEADED,HOLLAND,NORTHEAST,55418-2854,617 LOWRY AVE NE,1.0,VACANT LAND - COMMERCIAL,0
27294,2020,0,NON-HOMESTEADED,HOLLAND,NORTHEAST,55418,2548 5TH ST NE,1.0,RESIDENTIAL,0
27295,2020,0,NON-HOMESTEADED,HOLLAND,NORTHEAST,55418,2552 5TH ST NE,1.0,RESIDENTIAL,0
27299,2020,0,NON-HOMESTEADED,HOLLAND,NORTHEAST,55418,2600 6TH ST NE,1.0,VACANT LAND - INDUSTRIAL,0
27305,2020,0,NON-HOMESTEADED,,,55418,2500 7TH ST NE,,VACANT LAND - COMMERCIAL,0
27307,2020,0,NON-HOMESTEADED,HOLLAND,NORTHEAST,55418-2836,340 27TH AVE NE,1.0,VACANT LAND - INDUSTRIAL,0
27313,2020,0,NON-HOMESTEADED,HOLLAND,NORTHEAST,55418,2416 7TH ST NE,1.0,VACANT LAND - COMMERCIAL,0
27348,2020,0,NON-HOMESTEADED,HOLLAND,NORTHEAST,55418-3435,2412 4TH ST NE,1.0,RESIDENTIAL,0
27403,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-2109,3505 CHICAGO AVE,9.0,COMMERCIAL,0
27432,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-2114,3452 10TH AVE S,9.0,RESIDENTIAL,0
27457,2020,0,NON-HOMESTEADED,POWDERHORN PARK,POWDERHORN,55407-2109,3521 CHICAGO AVE,9.0,VACANT LAND - COMMERCIAL,0
27465,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407,623 35TH ST E,9.0,VACANT LAND - COMMERCIAL,0
27466,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407,3501 1/2 PARK AVE,9.0,VACANT LAND - COMMERCIAL,0
27489,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2108,3446 CHICAGO AVE,9.0,COMMERCIAL,0
27529,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2020,3416 PARK AVE,9.0,DOUBLE BUNGALOW,0
27534,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55407-2020,3436 PARK AVE,9.0,RESIDENTIAL,0
27572,2020,0,NON-HOMESTEADED,CENTRAL,POWDERHORN,55408-3264,3324 CLINTON AVE,9.0,RESIDENTIAL,0
27654,2020,0,NON-HOMESTEADED,LYNDALE,POWDERHORN,55408,3100 NICOLLET AVE,8.0,VACANT LAND - COMMERCIAL,0
27724,2020,0,NON-HOMESTEADED,NORTHROP,NOKOMIS,55407-3156,4317 ELLIOT AVE,11.0,RESIDENTIAL,0
27734,2020,0,NON-HOMESTEADED,NORTHROP,NOKOMIS,55407-3157,4314 ELLIOT AVE,11.0,RESIDENTIAL,0
27778,2020,0,NON-HOMESTEADED,NORTHROP,NOKOMIS,55407,901 42ND ST E,8.0,VACANT LAND - COMMERCIAL,0
27813,2020,0,NON-HOMESTEADED,WEBBER-CAMDEN,CAMDEN,55412,4150 HUMBOLDT AVE N,4.0,VACANT LAND - COMMERCIAL,0
27820,2020,0,NON-HOMESTEADED,WEBBER-CAMDEN,CAMDEN,55412-1627,4140 FREMONT AVE N,4.0,COMMERCIAL,0
27856,2020,0,NON-HOMESTEADED,WEBBER-CAMDEN,CAMDEN,55412-1651,1304 42ND AVE N,4.0,VACANT LAND - COMMERCIAL,0
27865,2020,0,NON-HOMESTEADED,WEBBER-CAMDEN,CAMDEN,55412-1605,4227 GIRARD AVE N,4.0,RESIDENTIAL,0
27932,2020,0,NON-HOMESTEADED,WEBBER-CAMDEN,CAMDEN,55412-1625,4038 FREMONT AVE N,4.0,RESIDENTIAL,0
27965,2020,0,NON-HOMESTEADED,WEBBER-CAMDEN,CAMDEN,55412-1601,4043 GIRARD AVE N,4.0,RESIDENTIAL,0
28041,2020,0,NON-HOMESTEADED,WEBBER-CAMDEN,CAMDEN,55412-1627,4114 FREMONT AVE N,4.0,VACANT LAND - RESIDENTIAL,0
28043,2020,0,NON-HOMESTEADED,WEBBER-CAMDEN,CAMDEN,55412-1627,4122 FREMONT AVE N,4.0,VACANT LAND - RESIDENTIAL,0
28044,2020,0,NON-HOMESTEADED,WEBBER-CAMDEN,CAMDEN,55412-1627,4126 FREMONT AVE N,4.0,VACANT LAND - RESIDENTIAL,0
28045,2020,0,NON-HOMESTEADED,WEBBER-CAMDEN,CAMDEN,55412-1627,4130 FREMONT AVE N,4.0,VACANT LAND - RESIDENTIAL,0
28048,2020,0,NON-HOMESTEADED,WEBBER-CAMDEN,CAMDEN,55412-1614,4141 DUPONT AVE N,4.0,COMMERCIAL,0
28092,2020,0,NON-HOMESTEADED,SHINGLE CREEK,CAMDEN,55430,2320 50TH AVE N,4.0,VACANT LAND - COMMERCIAL,0
28093,2020,0,NON-HOMESTEADED,SHINGLE CREEK,CAMDEN,55430,2537 50TH AVE N,4.0,VACANT LAND - COMMERCIAL,0
28094,2020,0,NON-HOMESTEADED,SHINGLE CREEK,CAMDEN,55430,2536 50TH AVE N,4.0,VACANT LAND - COMMERCIAL,0
28095,2020,0,NON-HOMESTEADED,SHINGLE CREEK,CAMDEN,55430,2238 50TH AVE N,4.0,VACANT LAND - COMMERCIAL,0
28096,2020,0,NON-HOMESTEADED,SHINGLE CREEK,CAMDEN,55430,2336 50TH AVE N,4.0,VACANT LAND - COMMERCIAL,0
28097,2020,0,NON-HOMESTEADED,SHINGLE CREEK,CAMDEN,55430,2436 50TH AVE N,4.0,VACANT LAND - COMMERCIAL,0
28098,2020,0,NON-HOMESTEADED,SHINGLE CREEK,CAMDEN,55430,4859 PENN AVE N,4.0,VACANT LAND - COMMERCIAL,0
28221,2020,0,NON-HOMESTEADED,MCKINLEY,CAMDEN,55412-2139,3701 WASHINGTON AVE N,4.0,VACANT LAND - INDUSTRIAL,0
28222,2020,0,NON-HOMESTEADED,MCKINLEY,CAMDEN,55412,3600 3RD ST N,4.0,VACANT LAND - COMMERCIAL,0
28223,2020,0,NON-HOMESTEADED,MCKINLEY,CAMDEN,55412-2137,3601 WASHINGTON AVE N,4.0,VACANT LAND - INDUSTRIAL,0
28226,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418,3100 COLUMBIA AVE,1.0,VACANT LAND - COMMERCIAL,0
28227,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418-1807,3101 CALIFORNIA ST,1.0,VACANT LAND - COMMERCIAL,0
28230,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418,3103 COLUMBIA AVE,1.0,VACANT LAND - COMMERCIAL,0
28233,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418-1806,3002 CALIFORNIA ST,1.0,VACANT LAND - COMMERCIAL,0
28234,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418,3000 1/2 CALIFORNIA ST,1.0,VACANT LAND - COMMERCIAL,0
28235,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418,3210 MAIN ST NE,1.0,VACANT LAND - COMMERCIAL,0
28238,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418-1807,3105 CALIFORNIA ST,1.0,INDUSTRIAL,0
28243,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418,3248 CALIFORNIA ST,1.0,VACANT LAND - INDUSTRIAL,0
28244,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418,3201 MARSHALL ST,1.0,VACANT LAND - COMMERCIAL,0
28245,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418,2800 MARSHALL ST,1.0,VACANT LAND - COMMERCIAL,0
28247,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418,3101 MARSHALL ST,1.0,VACANT LAND - COMMERCIAL,0
28248,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418,3000 MAIN ST NE,1.0,VACANT LAND - INDUSTRIAL,0
28290,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418-1817,3006 GRAND ST,1.0,RESIDENTIAL,0
28333,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418,2901 GRAND ST,1.0,VACANT LAND - COMMERCIAL,0
28347,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418,2928 MAIN ST NE,1.0,VACANT LAND - INDUSTRIAL,0
28362,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418,2931 GRAND ST,1.0,COMMERCIAL,0
28365,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418,2921 RANDOLPH ST,1.0,APARTMENT,0
28366,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418-1822,2919 RANDOLPH ST,1.0,APARTMENT,0
28367,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418-1908,129 29TH AVE NE,1.0,COMMERCIAL,0
28368,2020,0,NON-HOMESTEADED,MARSHALL TERRACE,NORTHEAST,55418,2938 GRAND ST,1.0,VACANT LAND - COMMERCIAL,0
28397,2020,0,NON-HOMESTEADED,CARAG,CALHOUN-ISLE,55408-2803,810 31ST ST W,10.0,COMMERCIAL,0
28471,2020,0,NON-HOMESTEADED,CARAG,CALHOUN-ISLE,55408-2812,3125 BRYANT AVE S,10.0,COMMERCIAL,0
28489,2020,0,NON-HOMESTEADED,CARAG,CALHOUN-ISLE,55408-2838,3116 COLFAX AVE S,10.0,RESIDENTIAL,0
